created_at,text
2019-03-13 11:55:05,@BamsBulaksumur @jokowi Boleh muntah ga? https://t.co/QoQPwiJnik
2019-03-13 11:55:05,Jokowi menginginkan Tasikmalaya terhubung dengan wilayah Indonesia lainnya dengan mudah. #01MembangunNegeri
2019-03-13 11:55:04,"RT @jokowi: Kepada saudara-saudaraku umat Hindu yang hari ini menjauh dari keramaian dan belantara hawa nafsu, melepaskan diri dari perasaa…"
2019-03-13 11:55:03,RT @MahesaTiwi: Kartu Pra Kerja salah satu program andalan Jokowi yang diperuntukan untuk mereka yang sedang mencari kerja @JokSusi2019 @pr…
2019-03-13 11:55:02,RT @tempodotco: Presiden Jokowi kesal karena Indonesia kerap mengalami defisit neraca perdagangan. Saking kesalnya Jokowi bahkan sampai men…
2019-03-13 11:55:01,#TuanTanahLanggarHAM Jokowi Menang https://t.co/jpS9bcINdi
2019-03-13 11:55:01,"RT @lebihbaikjokowi: Berdasarkan data @C_Lontong, Indonesia punya beragam keragaman hayati. 17,5% satwa dunia ada di Indonesia.

Nah pertan…"
2019-03-13 11:55:00,"RT @lebihbaikjokowi: Kenapa bangun infrastruktur, Pak? Kenapa biaya sebesar itu untuk infrastruktur, Pak?

Tanya @C_lontong yang kemudian d…"
2019-03-13 11:55:00,"RT @el_kaezzar: 1. Byk yg goreng soal Aisyah krn ucapan Mahathir. Pdhl kalo mrk tau sejarahnya dan GA MALAS buka link, insya Allah bkl paha…"
2019-03-13 11:55:00,RT @UNITEDFANS91: @jokowi Pak komentar dong yg lagi viral Yg hoax pembebasan siti aisyah (hasil lobi pemerintahan RI) tp dibantah langsung…
2019-03-13 11:54:59,"RT @Gerindra: Neraca Dagang RI Masih Tekor, Jokowi: Bodoh Banget Kita https://t.co/qVY1GUZ3dE

Pak Presiden sendiri nih ya yang bilang, buk…"
2019-03-13 11:54:59,"@AnikXelfi @CH_chotimah @makLambeTurah @P3nj3l4j4h @budimandjatmiko @jokowi Cc @komnas_anak  @bawaslu_RI , apa tunggu laporan ?"
2019-03-13 11:54:58,"RT @VIVAcoid: Dikepung Pendukung Jokowi di Bali, Sandiaga Justru Ajak Berpelukan https://t.co/MtnAtXiXZb #Pemilu2019"
2019-03-13 11:54:58,Justru yang menarik adalah ketika sudah berkuasa Jokowi sendiri meminta bawahannya untuk membangun Bandara Miriadin… https://t.co/SmpDOXpVjU
2019-03-13 11:54:58,"RT @jokowi: Empat tahun terakhir, jembatan yang kita bangun di seluruh Indonesia jika disambung-sambungkan, panjangnya lebih dari 41 km! Da…"
2019-03-13 11:54:57,@budimandjatmiko @jokowi  gak bisa jawab can. Cuekin berlanjut.
2019-03-13 11:54:57,RT @CH_chotimah: Semoga Golputer skrng makin paham siapa lawan kita dipilpres ini &amp; semoga kalian paham knp NU bersikeras cawapres Jokowi h…
2019-03-13 11:54:56,#TuanTanahLanggarHAM Jokowi Menang https://t.co/2EsfGgTf02
2019-03-13 11:54:55,"Politik jgn sampai caci maki.
Apalagi sampai ke nenek moyang.
Habaib juga ada yang dukung Jokowi.
Jika caci maki mu… https://t.co/OgIwG6v6XE"
2019-03-13 11:54:55,Justru yang menarik adalah ketika sudah berkuasa Jokowi sendiri meminta bawahannya untuk membangun Bandara Miriadin… https://t.co/frxOqBHwIZ
2019-03-13 11:54:53,Banyak banget masalah #TuanTanahLanggarHAM Jokowi Menang
2019-03-13 11:54:53,"Menanggapi video yang viral tersebut, sejumlah pihak memberikan tanggapan #TuanTanahLanggarHAM Jokowi Menang"
2019-03-13 11:54:53,Justru yang menarik adalah ketika sudah berkuasa Jokowi sendiri meminta bawahannya untuk membangun Bandara Miriadin… https://t.co/f9liTXuii9
2019-03-13 11:54:53,"Foto yang kiri diliat liat kok kayak style nya him damsik waktu main film depan bisa belakang bisa.
Arigato ! 
Arig… https://t.co/ZkGwvw3sjB"
2019-03-13 11:54:52,"Kita bisa lihat profil cawapres kita. 
Baik pak @jokowi dan pak @prabowo . Dan tetap percaya pilih 01 ya, sudah jel… https://t.co/CTMvl4XfjY"
2019-03-13 11:54:52,"Dengan kesalahan terbukti, direkomendasikan agar yang bersangkutan dari dinas militer,"" tambah Agum. #TuanTanahLanggarHAM Jokowi Menang"
2019-03-13 11:54:52,Hasil pemeriksaan dan temuan tersebut membuat DKP memberikan rekomendasi kepada Panglima TNI. #TuanTanahLanggarHAM Jokowi Menang
2019-03-13 11:54:52,"RT @Debby3151: ketika kubu sebelah menyebar hoax @jokowi sibuk dengan infrastruktur,bukan cuma jalan tol, tapi juga jembatan yang menghubun…"
2019-03-13 11:54:52,"Di sinilah saya tahu bagaimana matinya orang-orang itu, di mana dibuangnya saya tahu betul,"" kata Agum #TuanTanahLanggarHAM Jokowi Menang"
2019-03-13 11:54:51,Melalui Tim Mawar tersebut Agum mengatakan dirinya mengetahui bagaimana mati dan dibuangnya orang-orang tersebut.… https://t.co/ZB9TlbM1jT
2019-03-13 11:54:51,Justru yang menarik adalah ketika sudah berkuasa Jokowi sendiri meminta bawahannya untuk membangun Bandara Miriadin… https://t.co/atBvHhBwuG
